,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,artist rank,play.count,play.count.th
406,0.0194,0.896,474040,0.482,0.033,0,0.0273,-8.35,1,0.127,112,4,0.847,1,Walking Into Sunshine,Central Line,2,1483791,1483.791
407,0.00231,0.624,206013,0.971,0.121,6,0.255,-0.935,0,0.0643,102.003,4,0.442,0,Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike,2,1489201,1489.201
408,0.807,0.569,235680,0.484,9.35E-06,0,0.163,-6.536,1,0.0304,122.08,4,0.308,0,Tears,Matt Hammitt,2,1497925,1497.925
409,6.49E-05,0.401,264107,0.988,0.116,1,0.342,-4.104,0,0.192,155.356,4,0.191,0,Venomous,Whitechapel,2,1503311,1503.311
410,0.000501,0.581,197160,0.86,0,10,0.305,-3.459,1,0.036,122.941,4,0.48,0,Bad Boys,Victorious Cast,3,1504064,1504.064
417,0.0197,0.593,194893,0.814,0,9,0.18,-4.802,1,0.166,146.919,4,0.47,0,Faster than Boyz,Victorious Cast,3,1544188,1544.188
977,0.0576,0.591,218373,0.866,0,2,0.146,-2.877,1,0.0536,86.981,4,0.496,0,Song 2 You,Victorious Cast,3,12238243,12238.243
411,6.89E-05,0.286,215822,0.704,0.034,9,0.192,-5.12,0,0.0374,145.843,4,0.185,1,Desire,DILLY DALLY,2,1512730,1512.73
412,0.288,0.668,312640,0.897,0,6,0.513,-3.982,1,0.255,95.952,4,0.512,0,Miracles,Insane Clown Posse,2,1520438,1520.438
413,0.198,0.603,145773,0.921,0.00035,5,0.133,-3.555,0,0.0931,122.978,4,0.814,1,Do You Want a Man - Heaven & Hell Remix,William Onyeabor,3,1531374,1531.374
763,0.0286,0.76,479547,0.391,0.00691,1,0.0582,-8.73,1,0.0353,116.873,4,0.965,1,Atomic Bomb,William Onyeabor,3,6139566,6139.566
796,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4,0.947,1,Fantastic Man,William Onyeabor,3,6822338,6822.338
414,0.011,0.63,160858,0.664,0.082,9,0.105,-7.245,1,0.172,179.955,4,0.231,1,Drippin,MiM0SA,2,1532722,1532.722
415,0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4,0.259,1,Sentimental Trash,Sweet Valley,2,1535814,1535.814
416,0.304,0.614,218413,0.575,0.0116,5,0.108,-5.819,0,0.0285,150.009,4,0.284,1,Standard,Empress Of,2,1542837,1542.837
418,0.8,0.611,448315,0.9,0.872,1,0.19,-10.026,1,0.0593,129.729,4,0.322,1,Loner,Burial,3,1547474,1547.474
1017,0.428,0.624,238427,0.852,0.656,1,0.114,-10.184,1,0.153,135.223,4,0.517,1,Archangel,Burial,3,13557440,13557.44
419,0.00799,0.883,382015,0.333,0.804,5,0.257,-17.848,0,0.053,121.099,4,0.964,1,It Looks Like Love,Goody Goody,2,1550304,1550.304
420,0.00166,0.587,205307,0.841,0.53,11,0.117,-5.079,0,0.0476,142.95,4,0.696,1,Celebrando,CLUBZ,2,1554805,1554.805
421,0.193,0.732,207052,0.606,1.25E-06,10,0.165,-5.21,1,0.0313,115.985,4,0.637,0,Run the Race,Holly Starr,2,1568432,1568.432
422,0.000258,0.375,212947,0.804,0.694,7,0.322,-5.673,0,0.0372,154.066,4,0.394,1,Dead Sound,The Raveonettes,2,1581861,1581.861
423,0.0512,0.851,224653,0.387,0,0,0.0996,-13.584,1,0.334,116.629,4,0.365,1,Smell Yo D*ck,Riskay,2,1585274,1585.274
424,0.813,0.745,132947,0.544,0,5,0.0975,-9.137,0,0.0654,125.345,4,0.776,1,Three Cool Cats,The Coasters,2,1588753,1588.753
425,0.0044,0.449,234613,0.962,0.897,1,0.397,-4.293,0,0.112,154.979,4,0.296,1,A Hundred Ropes,Minor Victories,2,1594322,1594.322
426,0.349,0.545,212147,0.507,2.92E-06,0,0.157,-7.534,0,0.0392,124.311,4,0.685,1,Dirt And Grime,Fathers Children,2,1598960,1598.96
427,0.00096,0.573,256800,0.946,0.00191,7,0.115,-5.065,1,0.377,151.817,4,0.769,1,Michael Jackson,Das Racist,2,1603913,1603.913
428,0.0101,0.651,247360,0.642,0.000186,2,0.0902,-4.276,1,0.167,88.237,4,0.711,1,Anything New,Bibio,2,1613922,1613.922
429,0.0793,0.545,234199,0.576,0,6,0.103,-11.081,1,0.0277,100.304,4,0.416,0,More Than Conquerors (Radio Version),Steven Curtis Chapman,2,1618696,1618.696
431,0.00533,0.421,164289,0.8,0.332,11,0.381,-5.85,1,0.303,189.935,4,0.0951,1,Rvtchet Bitch,Brillz & Teddy Tuxedo,2,1624153,1624.153
432,0.789,0.664,145707,0.32,0,4,0.152,-7.356,1,0.0322,141.916,3,0.71,0,Perfect Harmony,Rags Cast,2,1633449,1633.449
433,0.0541,0.646,160408,0.714,0,0,0.134,-6.511,1,0.0378,97.957,4,0.589,0,"Call On Me - EDWYNN X TIKAL, Spirix Remix",Starley,2,1645704,1645.704
434,0.0252,0.34,147467,0.805,0,7,0.138,-3.397,1,0.0387,167.922,4,0.654,1,Don'еЫеЄt Wanna Lose,Ex Hex,2,1653311,1653.311
435,0.00529,0.563,200600,0.924,0.883,10,0.145,-3.909,0,0.0511,94.057,4,0.6,1,Caffeinated Consciousness,TV On The Radio,4,1667996,1667.996
709,0.0212,0.597,260467,0.798,0.473,5,0.143,-5.307,1,0.0367,99.999,4,0.383,1,Second Song,TV On The Radio,4,5237483,5237.483
1224,0.0326,0.598,228707,0.885,0.00265,8,0.107,-3.992,0,0.0383,87.914,4,0.593,1,DLZ,TV On The Radio,4,26324247,26324.247
436,0.284,0.797,253187,0.508,0.00859,9,0.356,-8.154,0,0.0455,118.032,4,0.958,1,Slippin‰ЫЄ,Quadron,2,1684416,1684.416
437,0.188,0.556,294360,0.582,0.911,6,0.229,-10.65,0,0.0357,131.023,4,0.516,1,Deicide,Crystal Castles,3,1723794,1723.794
591,0.000183,0.596,178800,0.628,0.00767,5,0.187,-7.582,0,0.0503,139.965,4,0.52,1,Pale Flesh,Crystal Castles,3,3583250,3583.25
617,4.91E-05,0.442,207027,0.797,0.293,1,0.0749,-7.352,1,0.0349,135.018,4,0.274,1,Sad Eyes,Crystal Castles,3,3811281,3811.281
632,0.0036,0.396,186627,0.601,0.531,0,0.116,-9.347,1,0.0515,129.996,4,0.351,1,Wrath Of God,Crystal Castles,3,3975501,3975.501
696,0.11,0.438,192000,0.539,0,8,0.143,-9.578,1,0.166,166.649,5,0.0759,1,Kerosene,Crystal Castles,3,5078448,5078.448
767,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4,0.317,1,Char,Crystal Castles,3,6219735,6219.735
769,0.0214,0.465,295880,0.633,0.79,11,0.105,-9.493,0,0.0578,130.074,4,0.0451,1,Plague,Crystal Castles,3,6255457,6255.457
839,0.0602,0.658,156707,0.835,0.00781,4,0.14,-7.165,0,0.0501,124.654,4,0.568,1,Affection,Crystal Castles,3,7745466,7745.466
440,0.00388,0.605,325714,0.642,0.598,3,0.102,-7.002,1,0.0411,125.967,4,0.157,0,Chords Of Life - Original Mix,Tim Mason,2,1761163,1761.163
441,0.937,0.772,220093,0.635,0.018,0,0.0961,-8.412,1,0.0536,168.039,4,0.592,1,Demon,Shamir,2,1762636,1762.636
442,0.0621,0.736,190440,0.539,0.0312,1,0.12,-8.316,1,0.0936,147.73,4,0.761,1,Zion Gate Dub,King Tubby,2,1766737,1766.737
443,0.00266,0.444,217733,0.498,0.0299,2,0.135,-7.631,1,0.199,119.914,4,0.294,1,She a Go (feat. Spinn & Taso),DJ Rashad,2,1773463,1773.463
444,0.00192,0.482,198947,0.968,0.000454,6,0.108,-4.395,1,0.149,114.001,4,0.245,0,American Dream,Chelsea Grin,2,1782954,1782.954
445,0.321,0.749,308947,0.422,0.155,1,0.11,-11.004,0,0.0733,98.82,4,0.587,1,Water Me (feat. Leon Ware),Theophilus London,2,1795011,1795.011
447,0.0853,0.864,126467,0.552,0.778,5,0.094,-8.851,0,0.0495,112.378,4,0.74,1,Hung Over,The Martini's,2,1806975,1806.975
448,0.00217,0.639,296276,0.978,0.112,11,0.0838,-2.376,1,0.073,144.986,4,0.494,0,Let It Go - Scott Melker & Mister Gray Remix,NERVO,2,1829992,1829.992
449,0.323,0.839,369067,0.48,0.0505,6,0.0758,-12.223,1,0.113,120.973,4,0.45,1,Rollerskate,Matias Aguayo,2,1851162,1851.162
450,0.22,0.234,207186,0.747,0.000176,11,0.157,-3.332,0,0.0577,81.805,4,0.365,1,Skyscraper,Elephant,2,1864752,1864.752
451,0.518,0.672,248372,0.527,0.26,9,0.0946,-12.702,0,0.111,87.996,4,0.356,1,MМ©tele,Buscabulla,2,1880967,1880.967
452,1.01E-05,0.404,224812,0.989,0.556,2,0.536,-1.374,1,0.184,94.291,4,0.153,0,Fauxhammer,Black Tongue,2,1885459,1885.459
453,0.666,0.354,138933,0.366,0,5,0.167,-10.799,0,0.0345,111.057,3,0.561,1,Just A Little Lovin',Dusty Springfield,4,1913015,1913.015
1272,0.518,0.683,155133,0.708,2.08E-05,4,0.175,-6.852,0,0.0289,106.446,4,0.967,1,Spooky,Dusty Springfield,4,29906978,29906.978
454,0.441,0.762,193160,0.705,0,4,0.118,-5.082,1,0.0991,119.439,4,0.776,0,Shaddap You Face,Joe Dolce,2,1915960,1915.96
455,0.00469,0.712,252313,0.865,0.0412,1,0.121,-6.411,1,0.083,113.015,4,0.831,1,The Way We Are,Kate Boy,3,1927324,1927.324
808,0.109,0.742,214693,0.77,0.0239,10,0.104,-6.339,0,0.0514,96.988,4,0.687,1,Northern Lights,Kate Boy,3,7055002,7055.002
456,0.0581,0.64,272160,0.947,0,9,0.0656,-3.925,0,0.102,145.108,4,0.68,0,Look At Me,Geri Halliwell,2,1929117,1929.117
457,0.00363,0.743,259889,0.889,0.143,10,0.383,-5.567,1,0.0409,103.963,4,0.186,0,Quit You - Wuki Remix,Lost Kings,2,1935983,1935.983
510,0.0969,0.595,198400,0.975,0,8,0.102,-2.339,0,0.364,150.001,4,0.183,0,Phone Down - Dodge & Fuski Remix,Lost Kings,2,2442776,2442.776
458,0.00599,0.618,187760,0.96,0,4,0.058,-6.382,1,0.0327,131.988,4,0.949,0,Agadoo - original,Black Lace,2,1936534,1936.534
460,0.0681,0.767,430576,0.686,0.91,7,0.111,-10.476,1,0.0461,114.07,4,0.578,1,Mystery Of Love,Mr. Fingers,2,1943165,1943.165
461,0.267,0.563,315787,0.847,0,0,0.243,-6.19,1,0.325,82.757,4,0.81,0,Can I Touch You...There?,Michael Bolton,2,1950385,1950.385
462,1.56E-05,0.493,258868,0.964,0.00733,1,0.727,-3.079,1,0.0954,110.005,4,0.17,0,Drown Me in Blood,Carnifex,2,1973434,1973.434
463,0.208,0.645,150706,0.52,0,1,0.0842,-7.417,1,0.0576,169.986,4,0.395,0,Adventurers,Holley Maher,2,1978031,1978.031
464,0.126,0.758,222733,0.699,0,0,0.0643,-4.217,1,0.051,95.011,4,0.724,0,Put Your Arms Around Me,Natasha Bedingfield,2,1978210,1978.21
465,0.000467,0.817,213059,0.588,1.51E-06,7,0.0911,-6.603,1,0.0399,119.934,4,0.448,1,Le Goudron (Edit),YACHT,2,1989424,1989.424
585,0.00167,0.845,292654,0.455,5.97E-05,11,0.0414,-5.209,1,0.0693,119.987,4,0.832,1,Second Summer,YACHT,2,3438350,3438.35
466,0.0573,0.639,284080,0.749,0.0294,1,0.153,-5.916,0,0.0468,84.452,4,0.553,1,Star,Gary Clark Jr.,3,2000729,2000.729
713,0.00855,0.293,202160,0.792,0.0111,7,0.133,-3.747,1,0.0363,161.933,4,0.696,1,Grinder,Gary Clark Jr.,3,5305031,5305.031
1039,0.0801,0.417,213853,0.944,0.00141,9,0.0862,-5.192,1,0.0459,109.721,4,0.376,1,Don't Owe You a Thang,Gary Clark Jr.,3,14838716,14838.716
467,0.588,0.614,179613,0.792,0,5,0.105,-3.528,0,0.352,154.823,4,0.554,0,Save You,Wahlstedt,3,2011459,2011.459
604,0.0171,0.801,160000,0.642,0.000946,9,0.112,-5.926,0,0.0903,126.013,4,0.703,0,Humble,Wahlstedt,3,3680708,3680.708
708,0.149,0.738,190476,0.646,0.00157,8,0.162,-5.384,1,0.0611,125.923,4,0.401,0,Find You,Wahlstedt,3,5225764,5225.764
1100,0.0841,0.757,175238,0.867,0.0992,0,0.125,-2.529,0,0.0362,125.962,4,0.518,0,Magic City,Wahlstedt,3,17555915,17555.915
468,0.323,0.661,186492,0.544,0.0222,7,0.0871,-11.193,1,0.0304,139.012,4,0.307,0,Like Home,Colin & Caroline,2,2014466,2014.466
469,0.00164,0.557,185600,0.992,0.677,1,0.0913,-2.735,1,0.133,150.011,4,0.623,0,First Contact,Twin Moons,2,2022351,2022.351
470,0.643,0.549,185726,0.816,1.38E-06,10,0.137,-5.044,0,0.233,109.774,4,0.523,0,Midnight Sun,Dirtcaps,2,2025201,2025.201
471,0.0141,0.651,256667,0.824,6.02E-06,0,0.129,-9.368,1,0.0617,141.226,4,0.731,1,Free Stress Test,Professor Murder,2,2026849,2026.849
472,0.00029,0.424,271560,0.992,2.13E-05,5,0.322,-2.976,0,0.19,145.144,4,0.0914,0,Beautiful Agony,Within The Ruins,2,2032435,2032.435
473,0.27,0.446,259765,0.89,0.661,7,0.451,-7.974,1,0.0308,170.002,4,0.503,1,Sophia So Far,Goodnight Radio,2,2038285,2038.285
474,0.00978,0.706,362413,0.643,0.00955,2,0.103,-9.357,0,0.0859,160.026,4,0.808,1,Rhythm of Devotion,Sisyphus,2,2058137,2058.137
475,0.273,0.893,142012,0.378,0,9,0.141,-7.324,1,0.305,119.969,4,0.642,1,Probably Nu It,Tree,2,2062885,2062.885
476,0.00144,0.211,162436,0.963,0.000732,7,0.162,-4.061,1,0.118,128.113,3,0.395,1,This Lonely Morning,Best Coast,3,2065835,2065.835
911,0.000392,0.294,311360,0.786,0.865,2,0.272,-3.626,1,0.0378,81.108,4,0.136,1,California Nights,Best Coast,3,9907521,9907.521
477,0.0174,0.757,205080,0.902,6.04E-06,7,0.0975,-6.747,1,0.0369,130.05,4,0.853,0,Cheeky Song (Touch My Bum),The Cheeky Girls,2,2066052,2066.052
478,0.0509,0.546,174031,0.737,1.68E-05,5,0.114,-3.794,1,0.054,97.9,4,0.188,0,After All,Khrebto,2,2069480,2069.48
479,0.0111,0.846,233387,0.501,0.00257,11,0.0883,-6.076,1,0.0334,118.001,4,0.825,1,Pieces,Tanlines,3,2071083,2071.083
887,4.06E-05,0.683,230587,0.698,0.000113,9,0.058,-6.255,1,0.0395,125.999,4,0.962,1,All Of Me,Tanlines,3,9288456,9288.456
480,0.000595,0.805,445417,0.79,0.889,0,0.0296,-7.93,1,0.0577,122.994,4,0.533,1,Nobody Else - Original Mix,Dusky,3,2076890,2076.89
861,0.000195,0.77,391686,0.895,0.897,7,0.0455,-8.102,0,0.0488,120.986,4,0.678,1,Careless,Dusky,3,8292743,8292.743
481,0.83,0.534,238265,0.582,0,2,0.125,-6.22,1,0.0424,186.346,4,0.289,0,No Le Digas Que Hacer,Karina Vismara,2,2080497,2080.497
482,0.0912,0.748,275907,0.703,0.0036,2,0.0635,-11.869,1,0.0663,110.615,4,0.618,1,Rock Creek Park,The Blackbyrds,2,2080538,2080.538
483,0.00121,0.984,188852,0.941,0.0539,9,0.026,-4.56,0,0.0805,122.003,4,0.331,0,Flashwind - Radio Edit,Ben Remember,2,2094081,2094.081
484,0.415,0.436,248962,0.618,2.46E-06,3,0.177,-8.402,0,0.0432,83.982,4,0.352,0,Hold It All,Cody Carnes,2,2111758,2111.758
659,0.157,0.211,252965,0.649,0,0,0.117,-7.28,1,0.0393,150.11,4,0.289,0,The Cross Has The Final Word,Cody Carnes,2,4389574,4389.574
485,0.791,0.718,144733,0.315,0,6,0.228,-13.869,1,0.181,96.981,4,0.592,0,Biscuits in the Oven,Raffi,2,2113481,2113.481
486,0.000937,0.676,200481,0.79,8.94E-05,7,0.0938,-3.674,1,0.0338,99.948,4,0.0484,0,Parachute,Joshua Micah,2,2120819,2120.819
487,0.00705,0.763,213375,0.773,0.032,0,0.772,-4.722,1,0.0533,130.025,4,0.347,1,Maneuvering,ILoveMakonnen,5,2125514,2125.514
892,0.000472,0.502,244204,0.833,0.043,2,0.352,-4.982,1,0.0638,142.053,4,0.593,1,Trust Me Danny,ILoveMakonnen,5,9450722,9450.722
931,0.0454,0.812,268421,0.676,0,1,0.0929,-4.502,1,0.0491,114.047,4,0.399,1,Swerve,ILoveMakonnen,5,10558549,10558.549
1069,0.00356,0.76,186122,0.402,0,8,0.333,-8.751,1,0.164,147.028,4,0.069,1,I Don't Sell Molly No More,ILoveMakonnen,5,16310568,16310.568
1687,0.36,0.784,212154,0.649,0.000684,0,0.115,-6.905,1,0.292,140.203,4,0.503,1,Tuesday,ILoveMakonnen,5,162858708,162858.708
488,0.00354,0.568,196000,0.928,0.0211,10,0.478,-3.556,1,0.045,122.997,4,0.57,0,Starlight - Radio Mix,SOVI,2,2129015,2129.015
489,0.00919,0.45,201602,0.782,0.101,11,0.123,-6.769,1,0.0364,173.954,4,0.209,1,Unbound,Cathedrals,2,2135897,2135.897
551,0.0564,0.607,248000,0.435,0.0178,6,0.171,-6.604,0,0.0475,120.045,4,0.255,1,Want My Love,Cathedrals,2,2972987,2972.987
491,0.266,0.626,233760,0.601,0.00405,2,0.112,-6.4,1,0.0309,120.046,4,0.187,0,Automatic,Castro,2,2147128,2147.128
492,0.648,0.322,228067,0.508,0.00297,7,0.152,-7.681,1,0.0341,155.128,4,0.191,0,Nowhere,Sarah Reeves,2,2164132,2164.132
493,0.0259,0.69,225533,0.548,0.00243,10,0.106,-9.587,0,0.352,121.509,4,0.693,1,Love Buzz,Shocking Blue,2,2171642,2171.642
494,0.0925,0.685,257173,0.784,0,9,0.314,-4.971,1,0.11,90.89,4,0.734,0,Take Me As I Am,Wyclef Jean,4,2171670,2171.67
817,0.0862,0.621,230733,0.579,0,9,0.0827,-8.574,1,0.221,82.897,4,0.415,0,Two Wrongs,Wyclef Jean,4,7137035,7137.035
1417,0.0772,0.733,241133,0.744,0,1,0.341,-3.51,1,0.0553,92.515,4,0.528,0,Sweetest Girl (Dollar Bill),Wyclef Jean,4,50383070,50383.07
495,0.284,0.633,226747,0.77,0,10,0.308,-6.954,0,0.327,149.97,4,0.324,1,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,2,2188952,2188.952
496,0.108,0.804,336160,0.708,0.0636,10,0.0528,-5.099,0,0.0394,141.996,4,0.966,1,Sexy Socialite,Chromeo,2,2220798,2220.798
498,0.0516,0.718,224267,0.921,0.0473,5,0.315,-3.978,0,0.0375,121.922,4,0.898,1,When The Night Falls - feat. Solange Knowles,Chromeo,2,2283730,2283.73
497,0.0155,0.76,285651,0.944,0.85,6,0.363,-3.793,0,0.0733,123.985,4,0.294,1,Next Order,Dog Blood,2,2234973,2234.973
499,0.0382,0.518,300573,0.666,2.47E-05,0,0.289,-5.306,1,0.0313,130.048,4,0.254,0,Summer Is Over feat. Sara Bareilles,Jon McLaughlin,3,2303358,2303.358
607,0.245,0.319,252053,0.664,0,1,0.0812,-4.85,1,0.0357,112.377,5,0.441,0,Human,Jon McLaughlin,3,3696721,3696.721
785,0.201,0.415,251640,0.661,0,7,0.143,-4.629,1,0.0296,156.177,4,0.283,0,Beautiful Disaster,Jon McLaughlin,3,6569961,6569.961
1140,0.787,0.386,226840,0.248,1.49E-06,11,0.143,-11.42,1,0.0291,106.259,3,0.153,0,So Close,Jon McLaughlin,3,21058848,21058.848
500,0.101,0.403,201720,0.883,0,4,0.109,-3.385,1,0.087,202.013,4,0.769,0,Amazing,Big Time Rush,4,2316010,2316.01
715,0.0196,0.437,175587,0.802,0,2,0.0709,-5.709,1,0.0997,121.387,5,0.604,0,I Know You Know,Big Time Rush,4,5325130,5325.13
717,0.00411,0.557,242973,0.796,0,3,0.0951,-4.147,1,0.0482,127.999,4,0.452,0,Confetti Falling,Big Time Rush,4,5347907,5347.907
885,0.114,0.586,176360,0.896,0,3,0.175,-4.572,1,0.11,94.954,4,0.353,0,Like Nobody's Around,Big Time Rush,4,9222170,9222.17
1109,0.219,0.638,209933,0.705,0,2,0.156,-4.47,1,0.035,91.961,4,0.292,0,Count On You,Big Time Rush,4,18487975,18487.975
1212,0.0273,0.599,197587,0.888,0,11,0.28,-2.931,0,0.0514,121.05,4,0.84,0,Big Time Rush,Big Time Rush,4,25514726,25514.726
1238,0.0987,0.614,201040,0.857,0,1,0.177,-4.171,0,0.111,164.146,4,0.655,0,Boyfriend,Big Time Rush,4,27129759,27129.759
1254,0.0735,0.531,224333,0.771,0,4,0.17,-6.162,1,0.0468,159.973,4,0.608,0,Worldwide,Big Time Rush,4,28514011,28514.011
501,0.464,0.535,178867,0.91,9.32E-05,10,0.0745,-4.827,1,0.0328,111.027,4,0.956,1,Be Brave,The Strange Boys,2,2325025,2325.025
502,0.00079,0.771,248991,0.248,0.1,5,0.341,-20.815,0,0.0802,139.937,4,0.281,1,Kathy Lee,Jessy Lanza,2,2350245,2350.245
503,0.149,0.536,243013,0.711,0,6,0.112,-4.916,1,0.0367,147.9,4,0.326,0,Back To God,Reba McEntire,2,2374801,2374.801
504,0.00136,0.526,322227,0.861,0.732,2,0.596,-5.871,0,0.0587,128.032,4,0.114,0,Fire In Your New Shoes (feat. Martina of Dragonette) - Sultan & Ned Shepard Electric Daisy Remix,Kaskade,3,2393308,2393.308
973,0.0344,0.561,235873,0.771,0.000151,1,0.0756,-5.533,1,0.036,128.025,4,0.212,0,Move for Me,Kaskade,3,12129601,12129.601
1169,0.0682,0.412,257846,0.83,0.00739,3,0.108,-4.976,0,0.0651,127.894,4,0.239,0,Last Chance,Kaskade,3,22751237,22751.237
505,0.058,0.648,201848,0.887,0,1,0.0382,-4.536,0,0.188,102.128,4,0.464,1,Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah,2,2394046,2394.046
506,0.102,0.775,423747,0.528,0.582,9,0.233,-7.756,1,0.0441,94.967,4,0.961,1,Running Back To You,The Juan Maclean,2,2398832,2398.832
507,0.0559,0.521,182160,0.851,0,2,0.267,-3.235,1,0.0336,130.032,4,0.825,1,Never Saw The Point,Cults,3,2404514,2404.514
850,0.00632,0.374,172960,0.937,0.0207,9,0.186,-3.882,1,0.082,149.812,4,0.337,1,Abducted,Cults,3,8094558,8094.558
509,0.000461,0.562,201031,0.96,0.0383,9,0.716,-2.981,1,0.0692,159.927,4,0.311,0,Hold Up,Borgeous,2,2440645,2440.645
511,0.00208,0.836,226840,0.603,0,7,0.571,-7.792,1,0.237,99.994,4,0.386,1,Digital Animal,Honey Claws,2,2454003,2454.003
512,0.00403,0.736,168451,0.68,5.49E-06,9,0.116,-6.438,1,0.342,149.902,4,0.601,1,Hazelton Trump,OB OBrien,2,2460296,2460.296
513,0.0107,0.619,220840,0.733,0,8,0.176,-5.055,1,0.0405,100.071,4,0.507,0,Brand New Life,Colton Dixon,2,2472041,2472.041
514,0.016,0.79,233813,0.616,0.13,0,0.136,-7.081,1,0.0388,111.038,4,0.373,1,Wait for a Minute,tUnE-yArDs,3,2479265,2479.265
891,0.196,0.76,263733,0.76,0.00185,10,0.113,-5.964,0,0.0509,111.01,4,0.616,1,Bizness,tUnE-yArDs,3,9426172,9426.172
515,0.0469,0.766,237867,0.82,0,2,0.336,-5.851,1,0.124,117.012,4,0.401,1,Pacifier,Young Thug,5,2524556,2524.556
1208,0.118,0.854,287086,0.401,0,9,0.527,-8.553,1,0.395,139.922,4,0.441,1,Imma Ride,Young Thug,5,25353774,25353.774
1227,0.421,0.876,240000,0.675,1.16E-06,3,0.0667,-3.28,0,0.146,135.959,4,0.618,1,Stoner,Young Thug,5,26563937,26563.937
1400,0.0659,0.751,202533,0.597,0,9,0.0881,-6.59,0,0.125,123.997,4,0.168,1,With That (feat. Duke),Young Thug,5,47617880,47617.88
1488,0.0324,0.742,280831,0.559,0,5,0.0987,-5.876,1,0.141,146.923,4,0.429,1,Hercules,Young Thug,5,67556158,67556.158
1514,0.0428,0.667,230693,0.581,0,0,0.183,-5.164,0,0.323,110.953,4,0.372,1,Check,Young Thug,5,76487732,76487.732
1600,0.0358,0.959,213000,0.598,0,8,0.358,-5.534,1,0.0713,127.029,4,0.424,1,Best Friend,Young Thug,5,110001856,110001.856
516,0.0126,0.6,588520,0.811,0.05,8,0.969,-10.199,0,0.102,100.894,4,0.372,1,dance yrself clean - live at madison square garden,LCD Soundsystem,4,2527607,2527.607
1324,0.148,0.701,462267,0.788,0.625,2,0.0977,-5.611,1,0.0425,142.584,4,0.794,1,All My Friends,LCD Soundsystem,4,34417036,34417.036
517,0.000483,0.286,242653,0.694,0.00252,6,0.0773,-7.481,1,0.0335,169.904,4,0.411,1,Neptune,Lemonade,2,2531164,2531.164
518,0.015,0.836,229715,0.537,0.00103,4,0.0805,-9.854,0,0.261,160.188,4,0.43,1,Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena,2,2532076,2532.076
519,0.0216,0.526,216072,0.825,1.39E-06,5,0.426,-3.506,0,0.0875,150.181,4,0.108,0,Spoon Me - Slushii Remix,Elliphant,2,2540826,2540.826
520,0.304,0.785,373243,0.573,0.403,5,0.0824,-9.082,0,0.0416,126.465,4,0.626,1,200 Press,James Blake,4,2541189,2541.189
1289,0.449,0.586,217120,0.658,0.368,10,0.109,-9.71,0,0.0457,144.933,4,0.276,1,Life Round Here,James Blake,4,31700868,31700.868
522,0.537,0.191,184800,0.664,1.23E-06,1,0.353,-4.125,1,0.0456,203.822,3,0.545,0,Puppy Love,Donny Osmond,2,2559671,2559.671
523,0.514,0.731,515087,0.638,0.332,9,0.144,-8.738,0,0.144,143.018,4,0.33,1,Fight,Nicolas Jaar,2,2567619,2567.619
525,0.0175,0.702,185840,0.773,0.00165,9,0.651,-3.741,1,0.214,100.006,4,0.484,1,Love In Motion - feat. Mayer Hawthorne,Sebastian,2,2616808,2616.808
731,0.233,0.328,225627,0.827,0.00517,6,0.632,-2.545,0,0.252,103.127,4,0.709,1,Embody,Sebastian,2,5521670,5521.67
526,2.13E-05,0.259,350920,0.847,0.823,2,0.133,-6.298,1,0.0332,150.162,4,0.682,1,Nothing Ever Happened,Deerhunter,2,2631460,2631.46
527,0.0138,0.677,144280,0.905,0,6,0.219,-4.597,1,0.0721,89.988,4,0.742,1,Swords,M.I.A.,3,2652147,2652.147
1033,0.0411,0.767,179240,0.912,0.402,1,0.0288,-1.157,1,0.054,144.084,4,0.496,1,Double Bubble Trouble,M.I.A.,3,14604143,14604.143
528,0.699,0.386,328966,0.509,0.872,2,0.131,-12.745,0,0.034,129.982,4,0.254,1,"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat,4,2667855,2667.855
1403,0.555,0.791,187210,0.58,0.00155,8,0.116,-8.377,1,0.0588,81.678,4,0.733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,4,48266304,48266.304
529,0.0238,0.303,199405,0.879,3.84E-05,8,0.431,-4.748,1,0.0758,80.329,4,0.564,0,Riot Call (feat. Nevve),QUIX,2,2674895,2674.895
530,0.00576,0.396,265543,0.821,0.000424,8,0.116,-3.826,1,0.104,171.927,4,0.122,0,Mantra - Mat Zo Remix,Noisia,2,2679558,2679.558
531,0.00256,0.468,201783,0.998,0,9,0.233,-0.994,0,0.15,140.003,4,0.064,0,No Absolution,Thy Art Is Murder,2,2684890,2684.89
